soi_district_id,source_state_name,source_district_name,source_state_slug,source_district_slug,soi_state_name,soi_district_name,soi_state_slug,soi_district_slug,source_profile_path,district_profile_path,source_metadata_path,district_metadata_path,path_changed
717,Odisha,Keonjhar (Kendujhar),odisha,keonjhar_kendujhar,ODISHA,KEONJHAR (KENDUJHAR),odisha,keonjhar_kendujhar,data/ceew/district_data/odisha/keonjhar_kendujhar/odisha_keonjhar_kendujhar_profile.json,data/ceew/district_data/odisha/keonjhar_kendujhar/odisha_keonjhar_kendujhar_profile.json,data/ceew/district_data/odisha/keonjhar_kendujhar/odisha_keonjhar_kendujhar_metadata_config.json,data/ceew/district_data/odisha/keonjhar_kendujhar/odisha_keonjhar_kendujhar_metadata_config.json,False
718,Odisha,Anugul,odisha,anugul,ODISHA,ANUGUL,odisha,anugul,data/ceew/district_data/odisha/anugul/odisha_anugul_profile.json,data/ceew/district_data/odisha/anugul/odisha_anugul_profile.json,data/ceew/district_data/odisha/anugul/odisha_anugul_metadata_config.json,data/ceew/district_data/odisha/anugul/odisha_anugul_metadata_config.json,False
719,Odisha,Puri,odisha,puri,ODISHA,PURI,odisha,puri,data/ceew/district_data/odisha/puri/odisha_puri_profile.json,data/ceew/district_data/odisha/puri/odisha_puri_profile.json,data/ceew/district_data/odisha/puri/odisha_puri_metadata_config.json,data/ceew/district_data/odisha/puri/odisha_puri_metadata_config.json,False
720,Odisha,Baragarh,odisha,baragarh,ODISHA,BARAGARH,odisha,baragarh,data/ceew/district_data/odisha/baragarh/odisha_baragarh_profile.json,data/ceew/district_data/odisha/baragarh/odisha_baragarh_profile.json,data/ceew/district_data/odisha/baragarh/odisha_baragarh_metadata_config.json,data/ceew/district_data/odisha/baragarh/odisha_baragarh_metadata_config.json,False
721,Odisha,Balasore (Baleshwar),odisha,balasore_baleshwar,ODISHA,BALASORE (BALESHWAR),odisha,balasore_baleshwar,data/ceew/district_data/odisha/balasore_baleshwar/odisha_balasore_baleshwar_profile.json,data/ceew/district_data/odisha/balasore_baleshwar/odisha_balasore_baleshwar_profile.json,data/ceew/district_data/odisha/balasore_baleshwar/odisha_balasore_baleshwar_metadata_config.json,data/ceew/district_data/odisha/balasore_baleshwar/odisha_balasore_baleshwar_metadata_config.json,False
722,Odisha,Jajapur,odisha,jajapur,ODISHA,JAJAPUR,odisha,jajapur,data/ceew/district_data/odisha/jajapur/odisha_jajapur_profile.json,data/ceew/district_data/odisha/jajapur/odisha_jajapur_profile.json,data/ceew/district_data/odisha/jajapur/odisha_jajapur_metadata_config.json,data/ceew/district_data/odisha/jajapur/odisha_jajapur_metadata_config.json,False
723,Odisha,Mayurbhanj,odisha,mayurbhanj,ODISHA,MAYURBHANJ,odisha,mayurbhanj,data/ceew/district_data/odisha/mayurbhanj/odisha_mayurbhanj_profile.json,data/ceew/district_data/odisha/mayurbhanj/odisha_mayurbhanj_profile.json,data/ceew/district_data/odisha/mayurbhanj/odisha_mayurbhanj_metadata_config.json,data/ceew/district_data/odisha/mayurbhanj/odisha_mayurbhanj_metadata_config.json,False
724,Odisha,Bolangir (Balangir),odisha,bolangir_balangir,ODISHA,BOLANGIR (BALANGIR),odisha,bolangir_balangir,data/ceew/district_data/odisha/bolangir_balangir/odisha_bolangir_balangir_profile.json,data/ceew/district_data/odisha/bolangir_balangir/odisha_bolangir_balangir_profile.json,data/ceew/district_data/odisha/bolangir_balangir/odisha_bolangir_balangir_metadata_config.json,data/ceew/district_data/odisha/bolangir_balangir/odisha_bolangir_balangir_metadata_config.json,False
725,Odisha,Khordha,odisha,khordha,ODISHA,KHORDHA,odisha,khordha,data/ceew/district_data/odisha/khordha/odisha_khordha_profile.json,data/ceew/district_data/odisha/khordha/odisha_khordha_profile.json,data/ceew/district_data/odisha/khordha/odisha_khordha_metadata_config.json,data/ceew/district_data/odisha/khordha/odisha_khordha_metadata_config.json,False
726,Odisha,Kandhamal,odisha,kandhamal,ODISHA,KANDHAMAL,odisha,kandhamal,data/ceew/district_data/odisha/kandhamal/odisha_kandhamal_profile.json,data/ceew/district_data/odisha/kandhamal/odisha_kandhamal_profile.json,data/ceew/district_data/odisha/kandhamal/odisha_kandhamal_metadata_config.json,data/ceew/district_data/odisha/kandhamal/odisha_kandhamal_metadata_config.json,False
